pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-54,d,Kepler-54 d,Transit,0,3,20.995694,0.000143,-0.000143,0,0.126,,,0,,,,,,,,,,,,,,0.136,0.007,-0.007,0,,,,,1,1,0,1,19h39m05.75s,294.773939,+43d03m22.7s,43.056295,273.8,2.94,-2.94,0,273.8,2.94,-2.94,0,15.847,,0,Kepler-band,15.813,,0,4252,100,-100,0,,,,,0.55,0.02,-0.02,0,2014-05-14,Kepler
Kepler-540,b,Kepler-540 b,Transit,0,1,172.7049784,0.0005356,-0.0005356,0,,,,,,,,,,,,,,,,,,0.242,0.034,-0.023,0,,,,,1,1,0,1,19h22m30.06s,290.625252,+44d52m26.3s,44.873962,350,48.23,-33.69,0,394.78,4.01,-4.01,0,12.209,,0,Kepler-band,12.187,,0,5946,77.07,-63.84,0,1.02,0.06,-0.05,0,1.08,0.15,-0.1,0,2016-05-10,Kepler
Kepler-541,b,Kepler-541 b,Transit,0,1,5.08005848,1.338E-05,-1.338E-05,0,,,,,,,,,,,,,,,,,,0.3,0.052,-0.05,0,,,,,0,1,0,1,19h36m35.92s,294.149669,+38d27m29.7s,38.458259,1020,165.01,-161.97,0,1093.96,17.3,-17.3,0,13.281,,0,Kepler-band,13.228,,0,6166,102.75,-99.75,0,1.41,0.12,-0.16,0,2.06,0.32,-0.33,0,2016-05-10,Kepler
Kepler-542,b,Kepler-542 b,Transit,0,1,13.14497566,3.491E-05,-3.491E-05,0,,,,,,,,,,,,,,,,,,0.14,0.009,-0.01,0,,,,,0,1,0,1,19h28m51.62s,292.215089,+38d32m54.9s,38.548588,439,27.36,-21.05,0,441.56,3.26,-3.26,0,13.435,,0,Kepler-band,13.416,,0,5526,76.12,-59.55,0,0.93,0.04,-0.04,0,0.9,0.06,-0.04,0,2016-05-10,Kepler
Kepler-543,b,Kepler-543 b,Transit,0,1,13.89961966,1.102E-05,-1.102E-05,0,,,,,,,,,,,,,,,,,,0.223,0.011,-0.023,0,,,,,0,1,0,1,19h08m52.49s,287.218727,+38d51m45.0s,38.862513,212,11.16,-9.23,0,223.23,1.04,-1.04,0,13.577,,0,Kepler-band,13.374,,0,4671,85.64,-76.72,0,0.7,0.05,-0.04,0,0.67,0.03,-0.03,0,2016-05-10,Kepler
Kepler-544,b,Kepler-544 b,Transit,0,1,21.41616926,8.095E-05,-8.095E-05,0,,,,,,,,,,,,,,,,,,0.189,0.017,-0.012,0,,,,,0,1,0,1,19h36m06.98s,294.029098,+39d03m06.6s,39.051846,797,70.01,-52.97,0,990.56,14.35,-14.35,0,13.542,,0,Kepler-band,13.541,,0,6206,68.1,-58.72,0,1.16,0.04,-0.04,0,1.22,0.11,-0.08,0,2016-05-10,Kepler
Kepler-545,b,Kepler-545 b,Transit,0,1,13.24934059,2.104E-05,-2.104E-05,0,,,,,,,,,,,,,,,,,,0.24,0.027,-0.019,0,,,,,0,1,0,1,19h22m15.91s,290.566303,+40d41m31.4s,40.692045,831,93.35,-63.05,0,837.64,12.77,-12.77,0,14.15,,0,Kepler-band,14.105,,0,5882,77.41,-64.41,0,1.04,0.04,-0.04,0,1.07,0.12,-0.08,0,2016-05-10,Kepler
Kepler-546,b,Kepler-546 b,Transit,0,1,4.14702026,8.8E-07,-8.8E-07,0,,,,,,,,,,,,,,,,,,0.624,0.172,-0.069,0,,,,,0,1,0,1,18h53m01.82s,283.257599,+40d59m25.8s,40.990498,896,248.07,-103.79,0,1050.45,18.48,-18.48,0,14.288,,0,Kepler-band,14.251,,0,5967,92.74,-130.13,0,1.11,0.11,-0.07,0,1.15,0.32,-0.13,0,2016-05-10,Kepler
Kepler-547,b,Kepler-547 b,Transit,0,1,6.01038429,1.57E-06,-1.57E-06,0,,,,,,,,,,,,,,,,,,0.357,0.012,-0.028,0,,,,,0,1,0,1,19h04m28.48s,286.118673,+44d20m43.0s,44.34528,361,14.14,-18.66,0,383.12,3.99,-3.99,0,14.247,,0,Kepler-band,14.207,,0,4828,40.1,-46.81,0,0.78,0.03,-0.04,0,0.73,0.02,-0.04,0,2016-05-10,Kepler
Kepler-548,b,Kepler-548 b,Transit,0,1,4.45419434,3.8E-07,-3.8E-07,0,,,,,,,,,,,,,,,,,,1.07,0.195,-0.098,0,,,,,0,1,0,1,19h59m37.42s,299.90591,+45d26m22.8s,45.439678,776,153.57,-80.61,0,768.17,13.48,-13.48,0,14.995,,0,Kepler-band,14.984,,0,5535,265.27,-230.38,0,0.93,0.09,-0.07,0,0.9,0.16,-0.08,0,2016-05-10,Kepler
